Month,SARIMA,Prophet
1961-01,447.22262031643027,449.7282300958804
1961-02,422.7340988864363,431.0062356791366
1961-03,457.70089523337305,491.48195048144083
1961-04,492.2775055849737,492.9512580462958
1961-05,505.5633662205079,502.17459796786517
1961-06,565.6717824522707,577.086066342518
1961-07,651.9864045756208,651.4315855996628
1961-08,639.6342428960918,648.1325042373476
1961-09,543.0588456102518,551.3954445963151
1961-10,493.72702599803006,487.2266198918917
1961-11,426.93800148020006,422.96394037801946
1961-12,470.1356091053755,471.90439331314286
